Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,SO2
United States of America,Clifton,52,Moderate,1,Good,46,Good,2,Good,52,Moderate,52.904,-1.177,1
United States of America,Clifton,52,Moderate,1,Good,46,Good,2,Good,52,Moderate,53.9721,-1.0979,1
United States of America,Clifton,52,Moderate,1,Good,46,Good,2,Good,52,Moderate,39.0764,-108.4605,1
Ireland,Clonmel,57,Moderate,1,Good,39,Good,0,Good,57,Moderate,52.3539,-7.7116,1
Kenya,Taveta,43,Good,1,Good,18,Good,0,Good,43,Good,-3.3956,37.6761,0
Philippines,Tayug,89,Moderate,1,Good,29,Good,1,Good,89,Moderate,16.0267,120.7478,6
Romania,Tecuci,44,Good,1,Good,41,Good,0,Good,44,Good,45.8467,27.4278,1
United States of America,Tehachapi,34,Good,1,Good,34,Good,4,Good,30,Good,35.1276,-118.4744,1
Canada,Terrace,24,Good,0,Good,24,Good,1,Good,11,Good,54.5164,-128.5997,2
Lesotho,Teyateyaneng,65,Moderate,2,Good,23,Good,1,Good,65,Moderate,-29.1511,27.7425,2
United States of America,The Woodlands,51,Moderate,1,Good,12,Good,11,Good,51,Moderate,30.1738,-95.5134,2
United States of America,Thousand Oaks,50,Good,2,Good,31,Good,14,Good,50,Good,34.1914,-118.8756,1
Israel,Tirat Karmel,132,Unhealthy,2,Good,42,Good,9,Good,132,Unhealthy for Sensitive Groups,32.7667,34.9667,2
Japan,Tomakomai,33,Good,1,Good,33,Good,0,Good,14,Good,42.6341,141.6055,0
Russian Federation,Uren,32,Good,1,Good,32,Good,0,Good,4,Good,57.45,45.7833,0
Japan,Ushiku,39,Good,1,Good,39,Good,2,Good,38,Good,35.9794,140.1496,14
France,Valbonne,74,Moderate,2,Good,34,Good,3,Good,74,Moderate,43.6414,7.0089,9
Portugal,Valongo,38,Good,1,Good,15,Good,6,Good,38,Good,41.1833,-8.5,1
Romania,Vaslui,62,Moderate,1,Good,43,Good,0,Good,62,Moderate,46.6383,27.7292,1
Portugal,Vendas Novas,35,Good,0,Good,27,Good,1,Good,35,Good,38.6833,-8.45,2
Ecuador,Ventanas,75,Moderate,2,Good,5,Good,8,Good,75,Moderate,-1.45,-79.47,3
Haiti,Verrettes,131,Unhealthy,2,Good,18,Good,4,Good,131,Unhealthy for Sensitive Groups,19.05,-72.4667,1
South Sudan,Tonj,84,Moderate,2,Good,4,Good,0,Good,84,Moderate,7.28,28.68,0
United States of America,Topeka,67,Moderate,1,Good,33,Good,4,Good,67,Moderate,39.0346,-95.6955,1
Russian Federation,Toropets,30,Good,0,Good,30,Good,0,Good,29,Good,56.5,31.65,0
Argentina,Trelew,18,Good,0,Good,18,Good,0,Good,2,Good,-43.25,-65.3,0
United States of America,Trotwood,45,Good,1,Good,32,Good,7,Good,45,Good,39.7926,-84.3165,3
Trinidad and Tobago,Tunapuna,63,Moderate,1,Good,21,Good,5,Good,63,Moderate,10.6333,-61.3833,0
Colombia,Tunja,25,Good,1,Good,5,Good,3,Good,25,Good,5.5333,-73.3667,1
Colombia,Turbo,35,Good,1,Good,12,Good,0,Good,35,Good,8.1,-76.7333,1
Indonesia,Ubud,35,Good,1,Good,26,Good,0,Good,35,Good,-8.5069,115.2624,1
Ghana,Swedru,89,Moderate,1,Good,19,Good,0,Good,89,Moderate,5.5306,-0.7028,0
United States of America,Tallmadge,50,Good,1,Good,33,Good,8,Good,50,Good,41.1023,-81.4216,3
Japan,Tamana,63,Moderate,2,Good,26,Good,8,Good,63,Moderate,32.9281,130.5594,1
Brazil,Taquara,48,Good,1,Good,15,Good,3,Good,48,Good,-29.6508,-50.7808,2
Italy,Tarquinia,46,Good,1,Good,46,Good,1,Good,29,Good,42.2492,11.7561,1
Brazil,Olinda,28,Good,0,Good,19,Good,1,Good,28,Good,-8,-34.8833,5
Israel,Or Yehuda,117,Unhealthy,2,Good,42,Good,9,Good,117,Unhealthy for Sensitive Groups,32.0333,34.85,2
Philippines,Ormoc,62,Moderate,1,Good,22,Good,0,Good,62,Moderate,11.0106,124.6075,1
United Kingdom of Great Britain and Northern Ireland,Ormskirk,35,Good,1,Good,35,Good,3,Good,20,Good,53.5665,-2.8869,2
United States of America,Oro Valley,67,Moderate,1,Good,16,Good,8,Good,67,Moderate,32.4208,-110.9767,1
Germany,Oschersleben,55,Moderate,1,Good,28,Good,4,Good,55,Moderate,52.0167,11.25,2
Belgium,Ostend,39,Good,1,Good,39,Good,2,Good,30,Good,51.2258,2.9194,1
France,Outreau,41,Good,1,Good,41,Good,1,Good,26,Good,50.7039,1.5939,2
United States of America,Oviedo,59,Moderate,1,Good,12,Good,15,Good,59,Moderate,43.36,-5.845,5
United States of America,Oviedo,59,Moderate,1,Good,12,Good,15,Good,59,Moderate,28.658,-81.1872,5
Canada,Owen Sound,36,Good,1,Good,36,Good,3,Good,36,Good,44.5667,-80.9333,2
Australia,Pakenham,24,Good,0,Good,17,Good,3,Good,24,Good,-38.0712,145.4878,0
France,Palaiseau,84,Moderate,3,Good,16,Good,10,Good,84,Moderate,48.7145,2.2457,1
India,Palwal,179,Unhealthy,4,Good,179,Unhealthy,2,Good,175,Unhealthy,28.143,77.329,5
Italy,Paola,64,Moderate,1,Good,48,Good,1,Good,64,Moderate,35.8728,14.5075,4
Italy,Paola,64,Moderate,1,Good,48,Good,1,Good,64,Moderate,39.3667,16.0333,1
Brazil,Parintins,18,Good,0,Good,7,Good,0,Good,18,Good,-2.6278,-56.7358,2
Peru,Pativilca,36,Good,1,Good,21,Good,1,Good,36,Good,-10.6958,-77.7742,1
Italy,Pedara,55,Moderate,1,Good,43,Good,1,Good,55,Moderate,37.6167,15.0667,1
Brazil,Penalva,21,Good,0,Good,11,Good,0,Good,21,Good,-3.2939,-45.1739,1
United States of America,Peru,63,Moderate,2,Good,19,Good,14,Good,63,Moderate,40.7593,-86.0756,1
United States of America,Peru,63,Moderate,2,Good,19,Good,14,Good,63,Moderate,41.3482,-89.1371,1
India,Perundurai,41,Good,1,Good,30,Good,0,Good,41,Good,11.2777,77.5837,3
Colombia,Pereira,121,Unhealthy,4,Good,0,Good,5,Good,121,Unhealthy for Sensitive Groups,4.8143,-75.6946,0
Germany,Pfullingen,58,Moderate,1,Good,37,Good,2,Good,58,Moderate,48.4656,9.2261,2
Czechia,Prachatice,68,Moderate,1,Good,35,Good,1,Good,68,Moderate,49.013,13.9975,2
Indonesia,Praya,51,Moderate,1,Good,25,Good,0,Good,51,Moderate,-8.7223,116.2923,1
Serbia,Priboj,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,43.5836,19.5258,3
Poland,Przeworsk,74,Moderate,1,Good,39,Good,1,Good,74,Moderate,50.0667,22.5,4
Peru,Puerto Maldonado,38,Good,1,Good,1,Good,0,Good,38,Good,-12.6,-69.1833,0
Colombia,Puerto Santander,100,Unhealthy,4,Good,3,Good,6,Good,100,Unhealthy for Sensitive Groups,8.3636,-72.4075,1
Bolivia (Plurinational State of),Punata,34,Good,1,Good,4,Good,1,Good,34,Good,-17.55,-65.8333,0
France,Quimper,48,Good,1,Good,42,Good,2,Good,48,Good,47.9967,-4.0964,1
Mexico,Quiroga,49,Good,1,Good,11,Good,4,Good,49,Good,19.6638,-101.524,2
France,Pierrelatte,64,Moderate,2,Good,18,Good,5,Good,64,Moderate,44.3775,4.6961,1
Spain,Pilas,23,Good,0,Good,23,Good,2,Good,22,Good,37.3017,-6.2986,1
China,Pingxiang,77,Moderate,2,Good,23,Good,7,Good,77,Moderate,27.6333,113.85,1
United States of America,Placerville,70,Moderate,2,Good,20,Good,10,Good,70,Moderate,38.7308,-120.7979,1
United States of America,Pleasant Prairie,55,Moderate,1,Good,14,Good,17,Good,55,Moderate,42.5266,-87.8895,8
Brazil,Pombos,40,Good,1,Good,9,Good,4,Good,40,Good,-8.1492,-35.4011,1
Spain,Ponferrada,20,Good,0,Good,16,Good,3,Good,20,Good,42.5461,-6.5908,1
Italy,Porcia,71,Moderate,1,Good,29,Good,3,Good,71,Moderate,45.9667,12.6167,1
Italy,Olgiate Comasco,97,Moderate,1,Good,56,Moderate,0,Good,97,Moderate,45.7833,8.9667,2
Poland,Olkusz,64,Moderate,1,Good,45,Good,0,Good,64,Moderate,50.2813,19.565,5
Switzerland,Olten,57,Moderate,1,Good,50,Good,0,Good,57,Moderate,47.35,7.9,2
Russian Federation,Opochka,35,Good,1,Good,35,Good,0,Good,13,Good,56.7,28.6667,0
United States of America,Orangevale,53,Moderate,1,Good,25,Good,7,Good,53,Moderate,38.6881,-121.2209,1
Canada,Oshawa,38,Good,1,Good,23,Good,3,Good,38,Good,43.9,-78.85,1
France,Ostwald,69,Moderate,1,Good,61,Moderate,0,Good,69,Moderate,48.5511,7.7136,2
Burkina Faso,Ouahigouya,81,Moderate,1,Good,35,Good,0,Good,81,Moderate,13.5833,-2.4167,0
Belgium,Oupeye,56,Moderate,1,Good,41,Good,1,Good,56,Moderate,50.7083,5.6431,2
United States of America,Pacific Grove,41,Good,1,Good,34,Good,1,Good,41,Good,36.6188,-121.9259,1
Germany,Paderborn,51,Moderate,1,Good,44,Good,0,Good,51,Moderate,51.7181,8.7542,10
Philippines,Pagadian,44,Good,1,Good,18,Good,1,Good,44,Good,7.8272,123.4364,1
Italy,Palermo,61,Moderate,1,Good,51,Moderate,0,Good,61,Moderate,2.8917,-75.4375,12
Italy,Palermo,61,Moderate,1,Good,51,Moderate,0,Good,61,Moderate,38.1157,13.3613,7
United States of America,Palisades Park,54,Moderate,1,Good,40,Good,4,Good,54,Moderate,40.8472,-73.9966,6
Australia,Palmerston,264,Unhealthy,9,Good,2,Good,17,Good,264,Very Unhealthy,53.35,-6.379,1
Russian Federation,Raychikhinsk,106,Unhealthy,2,Good,41,Good,1,Good,106,Unhealthy for Sensitive Groups,49.7833,129.4167,1
United States of America,Redlands,96,Moderate,3,Good,23,Good,13,Good,96,Moderate,34.0512,-117.1712,1
United States of America,Redlands,96,Moderate,3,Good,23,Good,13,Good,96,Moderate,39.0886,-108.6582,1
Brazil,Remanso,28,Good,0,Good,20,Good,0,Good,28,Good,-9.6219,-42.0808,3
Belgium,Retie,48,Good,1,Good,39,Good,1,Good,48,Good,51.2667,5.0667,4
Germany,Rhede,44,Good,1,Good,39,Good,1,Good,44,Good,51.8333,6.7006,3
Brazil,Rio Negro,24,Good,1,Good,14,Good,0,Good,24,Good,-26.1,-49.79,1
Spain,Ripollet,55,Moderate,1,Good,55,Moderate,1,Good,52,Moderate,41.4969,2.1574,1
India,Robertsganj,169,Unhealthy,3,Good,66,Moderate,4,Good,169,Unhealthy,24.7,83.07,12
United States of America,Rochester Hills,47,Good,1,Good,32,Good,1,Good,47,Good,42.6645,-83.1563,4
United States of America,Rock Hill,49,Good,1,Good,49,Good,1,Good,14,Good,34.9415,-81.0241,2
Australia,Rockhampton,25,Good,0,Good,25,Good,4,Good,13,Good,-23.3781,150.5136,0
China,Rongcheng,143,Unhealthy,4,Good,4,Good,23,Good,143,Unhealthy for Sensitive Groups,26.2312,104.0966,10
China,Rongcheng,143,Unhealthy,4,Good,4,Good,23,Good,143,Unhealthy for Sensitive Groups,29.8239,112.9019,7
China,Rongcheng,143,Unhealthy,4,Good,4,Good,23,Good,143,Unhealthy for Sensitive Groups,39.05,115.8657,7
United States of America,Madison Heights,55,Moderate,1,Good,34,Good,1,Good,55,Moderate,42.5073,-83.1034,3
United States of America,Madison Heights,55,Moderate,1,Good,34,Good,1,Good,55,Moderate,37.4487,-79.1057,1
India,Mahiari,198,Unhealthy,10,Good,3,Good,24,Good,198,Unhealthy,22.59,88.24,21
Brazil,Mamanguape,25,Good,0,Good,25,Good,0,Good,23,Good,-6.8389,-35.1258,4
Ghana,Mampong,39,Good,1,Good,25,Good,0,Good,39,Good,7.0667,-1.4,1
Romania,Marghita,54,Moderate,1,Good,47,Good,0,Good,54,Moderate,47.35,22.3333,2
United States of America,Commerce,117,Unhealthy,3,Good,17,Good,26,Good,117,Unhealthy for Sensitive Groups,33.9963,-118.1519,4
United States of America,Commerce,117,Unhealthy,3,Good,17,Good,26,Good,117,Unhealthy for Sensitive Groups,33.2421,-95.8992,1
Peru,Contamana,26,Good,1,Good,5,Good,0,Good,26,Good,-7.3333,-75.0167,0
Italy,Conversano,59,Moderate,1,Good,58,Moderate,0,Good,59,Moderate,40.9667,17.1167,1
Mexico,Cozumel,30,Good,0,Good,25,Good,0,Good,30,Good,20.5104,-86.9493,0
Hungary,Csorna,68,Moderate,1,Good,68,Moderate,0,Good,61,Moderate,47.6167,17.25,1
Indonesia,Curug,281,Unhealthy,15,Good,6,Good,59,Moderate,281,Very Unhealthy,-6.3711,106.8,17
Thailand,Phon,93,Moderate,2,Good,14,Good,5,Good,93,Moderate,15.8084,102.6018,1
Philippines,Pili,72,Moderate,1,Good,20,Good,1,Good,72,Moderate,13.7177,123.7448,1
Philippines,Pili,72,Moderate,1,Good,20,Good,1,Good,72,Moderate,13.5561,123.2756,1
Brazil,Piquete,52,Moderate,1,Good,20,Good,0,Good,52,Moderate,-22.6136,-45.1761,1
Guinea,Pita,90,Moderate,1,Good,19,Good,0,Good,90,Moderate,11.08,-12.401,0
Mauritius,Plaine Magnien,55,Moderate,1,Good,27,Good,0,Good,55,Moderate,-20.4286,57.6531,1
Germany,Plettenberg,54,Moderate,1,Good,45,Good,0,Good,54,Moderate,51.2167,7.8833,4
United States of America,Plover,54,Moderate,1,Good,29,Good,0,Good,54,Moderate,44.4615,-89.5382,1
Russian Federation,Podolsk,39,Good,1,Good,32,Good,7,Good,39,Good,55.4311,37.5456,2
Finland,Porvoo,34,Good,1,Good,34,Good,1,Good,8,Good,60.3944,25.6639,1
Russian Federation,Prokopyevsk,41,Good,1,Good,26,Good,6,Good,41,Good,53.8833,86.7167,0
Serbia,Prokuplje,56,Moderate,1,Good,48,Good,0,Good,56,Moderate,43.2339,21.5861,6
Venezuela (Bolivarian Republic of),Punto Fijo,84,Moderate,1,Good,28,Good,0,Good,84,Moderate,11.7167,-70.1833,0
Peru,Puquio,11,Good,0,Good,11,Good,0,Good,5,Good,-14.6939,-74.1241,0
Azerbaijan,Pushkino,82,Moderate,1,Good,46,Good,0,Good,82,Moderate,56.0167,37.8333,0
Ecuador,Puyo,48,Good,1,Good,3,Good,0,Good,48,Good,-1.4861,-78.0028,1
Myanmar,Pyay,31,Good,1,Good,18,Good,0,Good,31,Good,18.8167,95.2167,0
Portugal,Queluz,41,Good,1,Good,41,Good,1,Good,20,Good,38.7514,-9.2664,2
France,Roubaix,46,Good,1,Good,38,Good,1,Good,46,Good,50.6901,3.1817,2
United Kingdom,Runcorn,37,Good,1,Good,37,Good,1,Good,33,Good,53.3419,-2.7336,1
Italy,Russi,68,Moderate,1,Good,67,Moderate,0,Good,68,Moderate,44.3764,12.0334,1
Burundi,Ruyigi,40,Good,1,Good,27,Good,0,Good,40,Good,-3.4833,30.25,1
Rwanda,Rwamagana,85,Moderate,2,Good,26,Good,1,Good,85,Moderate,-1.95,30.4333,1
Germany,Saarlouis,66,Moderate,1,Good,54,Moderate,0,Good,66,Moderate,49.3167,6.75,1
Mexico,Sabinas,45,Good,1,Good,18,Good,1,Good,45,Good,27.8489,-101.12,5
India,Saiha,33,Good,1,Good,10,Good,1,Good,33,Good,22.48,92.97,0
India,Sakleshpur,63,Moderate,1,Good,12,Good,4,Good,63,Moderate,12.893,75.725,0
Italy,San Cesareo,63,Moderate,1,Good,63,Moderate,0,Good,48,Good,41.8167,12.8,0
Mexico,San Julian,54,Moderate,1,Good,30,Good,0,Good,54,Moderate,11.7536,125.4558,1
Panama,San Miguelito,61,Moderate,1,Good,28,Good,3,Good,61,Moderate,9.033,-79.5,1
Panama,San Miguelito,61,Moderate,1,Good,28,Good,3,Good,61,Moderate,11.4025,-84.9003,0
Germany,Sankt Augustin,54,Moderate,1,Good,48,Good,0,Good,54,Moderate,50.77,7.1867,2
Spain,Santomera,38,Good,1,Good,38,Good,0,Good,38,Good,38.0617,-1.0492,1
Germany,Parchim,43,Good,1,Good,43,Good,0,Good,25,Good,53.4167,11.8333,1
France,Passy,64,Moderate,1,Good,39,Good,0,Good,64,Moderate,45.9236,6.6864,1
India,Penukonda,55,Moderate,1,Good,26,Good,3,Good,55,Moderate,14.0847,77.5967,3
Brazil,Pereira Barreto,55,Moderate,1,Good,24,Good,0,Good,55,Moderate,-20.6383,-51.1092,1
Germany,Pforzheim,65,Moderate,1,Good,60,Moderate,0,Good,65,Moderate,48.895,8.705,3
Pakistan,Bahawalpur,189,Unhealthy,2,Good,126,Unhealthy for Sensitive Groups,0,Good,189,Unhealthy,29.3956,71.6836,10
United States of America,Bainbridge,59,Moderate,2,Good,25,Good,4,Good,59,Moderate,30.9052,-84.5732,1
United States of America,Bainbridge,59,Moderate,2,Good,25,Good,4,Good,59,Moderate,41.3855,-81.3478,1
United States of America,Balch Springs,53,Moderate,1,Good,30,Good,5,Good,53,Moderate,32.7194,-96.6151,1
Philippines,Baliuag,65,Moderate,1,Good,25,Good,2,Good,65,Moderate,14.954,120.901,13
India,Bangaon,62,Moderate,1,Good,38,Good,1,Good,62,Moderate,23.0435,88.8318,1
India,Bangaon,62,Moderate,1,Good,38,Good,1,Good,62,Moderate,25.8673,86.5115,1
India,Bangaon,62,Moderate,1,Good,38,Good,1,Good,62,Moderate,26.3081,87.8833,1
Philippines,Bangar,30,Good,1,Good,30,Good,0,Good,19,Good,4.7086,115.0739,2
Philippines,Bangar,30,Good,1,Good,30,Good,0,Good,19,Good,16.9,120.4167,4
Brazil,Barroquinha,25,Good,0,Good,13,Good,0,Good,25,Good,-3.0189,-41.1369,0
Guiné-Bissau,Bissau,134,Unhealthy,1,Good,24,Good,0,Good,134,Unhealthy for Sensitive Groups,11.85,-15.5667,0
Italy,Bitetto,44,Good,1,Good,44,Good,1,Good,20,Good,41.0333,16.75,1
United States of America,Black Forest,70,Moderate,1,Good,19,Good,6,Good,70,Moderate,39.0608,-104.6752,3
Malawi,Blantyre,53,Moderate,2,Good,24,Good,0,Good,53,Moderate,-15.7861,35.0058,1
Germany,Bohmte,68,Moderate,2,Good,27,Good,8,Good,68,Moderate,52.3667,8.3167,1
Ukraine,Bolekhiv,67,Moderate,1,Good,38,Good,0,Good,67,Moderate,49.0669,23.8514,1
India,Bongaigaon,68,Moderate,2,Good,47,Good,0,Good,68,Moderate,26.4769,90.5583,4
Colombia,Bosconia,75,Moderate,2,Good,9,Good,4,Good,75,Moderate,9.9761,-73.8903,1
Italy,Boscoreale,71,Moderate,2,Good,52,Moderate,11,Good,71,Moderate,40.7667,14.4833,5
United States of America,Brainerd,34,Good,1,Good,28,Good,1,Good,34,Good,46.3553,-94.1983,0
Belgium,Brecht,48,Good,1,Good,30,Good,6,Good,48,Good,51.35,4.6333,3
Brazil,Brejo Santo,30,Good,0,Good,9,Good,2,Good,30,Good,-7.4928,-38.985,0
Netherlands,Brielle,55,Moderate,1,Good,37,Good,4,Good,55,Moderate,51.9,4.1667,1
South Africa,Brits,212,Unhealthy,14,Good,21,Good,17,Good,212,Very Unhealthy,-25.6344,27.7811,35
Netherlands,Beek,61,Moderate,1,Good,28,Good,6,Good,61,Moderate,50.9333,5.8,4
Belgium,Beernem,50,Good,1,Good,37,Good,3,Good,50,Good,51.1428,3.3408,1
United States of America,Bellview,52,Moderate,2,Good,37,Good,8,Good,52,Moderate,30.462,-87.312,1
Germany,Belm,66,Moderate,2,Good,24,Good,9,Good,66,Moderate,52.3,8.1333,1
Italy,Belpasso,55,Moderate,1,Good,45,Good,0,Good,55,Moderate,37.5833,14.9833,1
Germany,Bendorf,62,Moderate,1,Good,34,Good,3,Good,62,Moderate,50.4297,7.5703,1
Spain,Bermeo,51,Moderate,1,Good,18,Good,4,Good,51,Moderate,43.42,-2.7264,1
Guinea,Beyla,46,Good,1,Good,17,Good,0,Good,46,Good,8.6833,-8.6333,0
India,Bhattiprolu,58,Moderate,1,Good,43,Good,0,Good,58,Moderate,16.1,80.78,4
United Kingdom of Great Britain and Northern Ireland,Bideford,60,Moderate,1,Good,21,Good,5,Good,60,Moderate,51.016,-4.209,1
Turkey,Birecik,53,Moderate,1,Good,48,Good,0,Good,53,Moderate,37.025,37.9769,3
Brazil,Artur Nogueira,68,Moderate,2,Good,3,Good,5,Good,68,Moderate,-22.5731,-47.1725,4
Bulgaria,Asenovgrad,76,Moderate,1,Good,43,Good,0,Good,76,Moderate,42.0167,24.8667,3
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,37.6942,-122.1159,3
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,38.4592,-82.6448,1
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,42.1905,-122.6992,2
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,40.8668,-82.3156,2
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,42.2573,-71.4687,3
United States of America,Ashland,76,Moderate,2,Good,36,Good,7,Good,76,Moderate,39.8782,-75.0085,2
Germany,Augsburg,64,Moderate,1,Good,35,Good,3,Good,64,Moderate,48.3689,10.8978,1
Italy,Aulla,50,Good,1,Good,36,Good,3,Good,50,Good,44.2167,9.9667,1
United States of America,Azalea Park,58,Moderate,1,Good,10,Good,15,Good,58,Moderate,28.5473,-81.2956,1
Philippines,Bacolod,38,Good,1,Good,19,Good,0,Good,38,Good,10.6765,122.9509,1
Philippines,Bacolod,38,Good,1,Good,19,Good,0,Good,38,Good,8.1892,124.0238,1
Austria,Bad Ischl,68,Moderate,1,Good,34,Good,1,Good,68,Moderate,47.7115,13.6239,1
United Republic of Tanzania,Bagamoyo,41,Good,1,Good,17,Good,0,Good,41,Good,-6.4444,38.9028,0
United Kingdom of Great Britain and Northern Ireland,Sidmouth,59,Moderate,1,Good,27,Good,5,Good,59,Moderate,50.68,-3.239,1
البحرين,Sitrah,159,Unhealthy,1,Good,94,Moderate,2,Good,159,Unhealthy,26.12,50.65,2
Ukraine,Snizhne,34,Good,1,Good,34,Good,1,Good,17,Good,48.0167,38.7667,1
Netherlands,Soest,30,Good,1,Good,26,Good,5,Good,30,Good,51.5711,8.1092,1
Netherlands,Soest,30,Good,1,Good,26,Good,5,Good,30,Good,52.1833,5.3,4
Brazil,Soledade,17,Good,0,Good,11,Good,2,Good,17,Good,-28.8178,-52.51,1
Brazil,Soledade,17,Good,0,Good,11,Good,2,Good,17,Good,-7.0569,-36.3628,1
Italy,Sondrio,55,Moderate,1,Good,21,Good,2,Good,55,Moderate,46.1697,9.87,1
France,Sorgues,50,Good,1,Good,23,Good,5,Good,50,Good,44.0083,4.8725,1
United States of America,South Lake Tahoe,54,Moderate,1,Good,18,Good,6,Good,54,Moderate,38.9393,-119.9828,1
United States of America,South Venice,45,Good,1,Good,14,Good,12,Good,45,Good,27.0444,-82.4155,0
United States of America,South Whittier,129,Unhealthy,4,Good,3,Good,35,Good,129,Unhealthy for Sensitive Groups,33.9336,-118.0312,11
Italy,Spilimbergo,63,Moderate,1,Good,37,Good,2,Good,63,Moderate,46.1281,12.885,1
United Kingdom of Great Britain and Northern Ireland,Stretford,33,Good,1,Good,33,Good,3,Good,19,Good,53.4466,-2.3086,2
United States of America,Struthers,83,Moderate,2,Good,31,Good,13,Good,83,Moderate,41.051,-80.592,2
Thailand,Sung Noen,35,Good,0,Good,24,Good,0,Good,35,Good,14.8965,101.8167,1
United States of America,Sycamore,56,Moderate,1,Good,23,Good,9,Good,56,Moderate,41.9957,-88.6821,3
China,Tailai,65,Moderate,2,Good,65,Moderate,0,Good,49,Good,46.3909,123.4161,5
Japan,Takanabe,29,Good,0,Good,29,Good,1,Good,24,Good,32.128,131.5033,22
Japan,Takasaki,67,Moderate,1,Good,63,Moderate,1,Good,67,Moderate,36.3219,139.0033,4
Bolivia (Plurinational State of),Tarija,15,Good,0,Good,1,Good,1,Good,15,Good,-21.5333,-64.7333,0
Japan,Tateyama,44,Good,1,Good,44,Good,1,Good,43,Good,34.9966,139.87,3
Japan,Tateyama,44,Good,1,Good,44,Good,1,Good,43,Good,36.6636,137.3137,1
Georgia,Khoni,31,Good,1,Good,31,Good,0,Good,23,Good,42.3244,42.4222,0
Germany,Kirkel,51,Moderate,1,Good,29,Good,3,Good,51,Moderate,49.2833,7.2333,1
Hungary,Kiskunmajsa,71,Moderate,1,Good,40,Good,1,Good,71,Moderate,46.4923,19.7368,1
Germany,Kitzingen,51,Moderate,1,Good,34,Good,2,Good,51,Moderate,49.7333,10.1667,1
South Africa,Klerksdorp,172,Unhealthy,9,Good,18,Good,12,Good,172,Unhealthy,-26.8667,26.6667,1
Thailand,Ko Samui,45,Good,1,Good,24,Good,0,Good,45,Good,9.5,100,1
India,Kochi,84,Moderate,1,Good,25,Good,1,Good,84,Moderate,9.97,76.28,3
Belgium,Koksijde,41,Good,1,Good,33,Good,2,Good,41,Good,51.1,2.65,1
Serbia,Kula,69,Moderate,1,Good,40,Good,1,Good,69,Moderate,45.6,19.5333,2
Japan,Kuroishi,34,Good,1,Good,34,Good,1,Good,19,Good,40.6426,140.6113,1
Finland,Kuusamo,24,Good,1,Good,24,Good,0,Good,3,Good,65.9667,29.1833,0
France,La Courneuve,61,Moderate,1,Good,19,Good,6,Good,61,Moderate,48.9322,2.3967,1
United States of America,La Crosse,47,Good,1,Good,38,Good,2,Good,47,Good,43.8241,-91.2268,1
Argentina,La Plata,43,Good,1,Good,12,Good,8,Good,43,Good,-34.9211,-57.9544,1
Argentina,La Plata,43,Good,1,Good,12,Good,8,Good,43,Good,2.39,-75.9075,2
Argentina,La Plata,43,Good,1,Good,12,Good,8,Good,43,Good,38.5352,-76.97,1
United States of America,La Vergne,71,Moderate,1,Good,27,Good,5,Good,71,Moderate,36.02,-86.5586,1
Nigeria,Lafia,117,Unhealthy,4,Good,20,Good,1,Good,117,Unhealthy for Sensitive Groups,8.5,8.5167,0
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,40.042,-76.3012,3
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,34.6935,-118.1753,1
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,54.0489,-2.8014,1
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,42.9099,-78.6378,1
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,32.5922,-96.7739,1
United States of America,Lancaster,41,Good,1,Good,41,Good,3,Good,32,Good,39.7248,-82.6049,1
United States of America,Laurinburg,42,Good,1,Good,42,Good,2,Good,27,Good,34.7602,-79.4773,1
Germany,Lauterbach,50,Good,1,Good,24,Good,3,Good,50,Good,50.6378,9.3944,1
France,Le Portel,50,Good,1,Good,35,Good,1,Good,50,Good,50.7067,1.5733,2
Portugal,Leiria,33,Good,0,Good,33,Good,1,Good,23,Good,39.75,-8.8,2
Italy,Lendinara,98,Moderate,1,Good,36,Good,5,Good,98,Moderate,45.085,11.6006,1
Russian Federation,Lensk,74,Moderate,2,Good,51,Moderate,0,Good,74,Moderate,60.7333,114.9167,7
Lithuania,Lentvaris,34,Good,0,Good,34,Good,0,Good,33,Good,54.65,25.0667,0
Russian Federation,Lesosibirsk,29,Good,1,Good,29,Good,0,Good,16,Good,58.2358,92.4828,1
China,Liaoyang,127,Unhealthy,3,Good,127,Unhealthy for Sensitive Groups,3,Good,114,Unhealthy for Sensitive Groups,41.2643,123.1772,25
Poland,Limanowa,99,Moderate,1,Good,32,Good,2,Good,99,Moderate,49.7006,20.4267,4
Guyana,Linden,34,Good,1,Good,16,Good,0,Good,34,Good,6,-58.3,0
